time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,-0,-0,0,0,0
23,-0,-0,0,0,0
24,-0,-0,0,0,0
25,-0,-0,0,0,0
26,-0,-0,0,0,0
27,-0,-0,0,0,0
28,-0,-0,0,0,0
29,-0,-0,0,0,0
30,-0,-0,0,0,0
31,-0,-0,0,0,0
32,-0,-0,0,0,0
33,-0,-0,0,0,0
34,-0,-0,0,0,0
35,-0,-0,0,0,0
36,-0,-0.3,0,0,0
37,-0,-0.3,0,-0.00573909,0
38,-0,-0.6,0,-0.0105233,0
39,-0,-0.6,0,-0.0202491,0
40,0.3,-0.9,0,-0.0283558,0
41,0.3,-0.9,0.00573909,-0.040848,0
42,0.6,-1.2,0.0105233,-0.051259,0
43,0.6,-1.2,0.0202491,-0.0656681,0
44,0.9,-1.5,0.0283558,-0.077675,0
45,0.9,-1.5,0.040848,-0.0934095,0
46,1.2,-1.8,0.051259,-0.106519,0
47,1.2,-1.8,0.0656681,-0.123168,0
48,1.5,-2.0112,0.077675,-0.137037,0
49,1.5,-2.0112,0.0934095,-0.15262,0
50,1.8,-2.0128,0.106519,-0.1656,0
51,1.8,-2.0128,0.123168,-0.176443,0
52,2.0112,-2.0144,0.137037,-0.185475,0
53,2.0112,-2.0144,0.15262,-0.193029,0
54,2.0128,-2.016,0.1656,-0.199322,0
55,2.0128,-2.016,0.176443,-0.204594,0
56,2.0144,-2.0176,0.185475,-0.208986,0
57,2.0144,-2.0176,0.193029,-0.212675,0
58,2.016,-2.0192,0.199322,-0.215748,0
59,2.016,-2.0192,0.204594,-0.218338,0
60,2.0176,-2.0208,0.208986,-0.220495,0
61,2.0176,-2.0208,0.212675,-0.222323,0
62,2.0192,-2.0224,0.215748,-0.223845,0
63,2.0192,-2.0224,0.218338,-0.225144,0
64,2.0208,-2.024,0.220495,-0.226226,0
65,2.0208,-2.024,0.222323,-0.227157,0
66,2.0224,-2.0256,0.223845,-0.227933,0
67,2.0224,-2.0256,0.225144,-0.22861,0
68,2.024,-2.0272,0.226226,-0.229174,0
69,2.024,-2.0272,0.227157,-0.229674,0
70,2.0256,-2.0288,0.227933,-0.230091,0
71,2.0256,-2.0288,0.22861,-0.230468,0
72,2.0272,-2.0304,0.229174,-0.230782,0
73,2.0272,-2.0304,0.229674,-0.231075,0
74,2.0288,-2.032,0.230091,-0.231318,0
75,2.0288,-2.032,0.230468,-0.231552,0
76,2.0304,-2.0336,0.230782,-0.231746,0
77,2.0304,-2.0336,0.231075,-0.231938,0
78,2.032,-2.0352,0.231318,-0.232099,0
79,2.032,-2.0352,0.231552,-0.232263,0
80,2.0336,-2.0368,0.231746,-0.232399,0
81,2.0336,-2.0368,0.231938,-0.232543,0
82,2.0352,-2.0384,0.232099,-0.232664,0
83,2.0352,-2.0384,0.232263,-0.232794,0
84,2.0368,-2.04,0.232399,-0.232903,0
85,2.0368,-2.04,0.232543,-0.233024,0
86,2.0384,-2.0416,0.232664,-0.233125,0
87,2.0384,-2.0416,0.232794,-0.233239,0
88,2.04,-2.0432,0.232903,-0.233334,0
89,2.04,-2.0432,0.233024,-0.233444,0
90,2.0416,-2.0448,0.233125,-0.233536,0
91,2.0416,-2.0448,0.233239,-0.233643,0
92,2.0432,-2.0464,0.233334,-0.233731,0
93,2.0432,-2.0464,0.233444,-0.233836,0
94,2.0448,-2.048,0.233536,-0.233923,0
95,2.0448,-2.048,0.233643,-0.234026,0
96,2.0464,-2.0496,0.233731,-0.234112,0
97,2.0464,-2.0496,0.233836,-0.234214,0
98,2.048,-2.0512,0.233923,-0.234298,0
99,2.048,-2.0512,0.234026,-0.2344,0
100,2.0496,-2.0528,0.234112,-0.234484,0
101,2.0496,-2.0528,0.234214,-0.234585,0
102,2.0512,-2.0544,0.234298,-0.234668,0
103,2.0512,-2.0544,0.2344,-0.234769,0
104,2.0528,-2.056,0.234484,-0.234852,0
105,2.0528,-2.056,0.234585,-0.234952,0
106,2.0544,-2.0576,0.234668,-0.235036,0
107,2.0544,-2.0576,0.234769,-0.235135,0
108,2.056,-2.3576,0.234852,-0.235219,0
109,2.056,-2.3576,0.234952,-0.240999,0
110,2.0576,-2.3592,0.235036,-0.245813,0
111,2.0576,-2.3592,0.235135,-0.249853,0
112,2.3576,-2.6592,0.235219,-0.253218,0
113,2.3576,-2.6592,0.240999,-0.261729,0
114,2.6576,-2.9592,0.245813,-0.268816,0
115,2.6576,-2.9592,0.255532,-0.280425,0
116,2.9576,-3.2592,0.263625,-0.290091,0
117,2.9576,-3.2592,0.276072,-0.303843,0
118,3.2576,-3.5592,0.286436,-0.315293,0
119,3.2576,-3.5592,0.30077,-0.330525,0
120,3.5576,-3.8592,0.312721,-0.343223,6.12171e-05
121,3.5576,-3.8592,0.328575,-0.359693,0.000246619
122,3.8576,-4.1592,0.342265,-0.373895,0.000560962
123,3.8576,-4.1592,0.360112,-0.392162,0.000981644
124,4.1576,-4.4592,0.375972,-0.408369,0.00151836
125,4.1576,-4.4592,0.396106,-0.428788,0.00215202
126,4.4576,-4.56389,0.414335,-0.447251,0.00289481
127,4.4576,-4.56389,0.436889,-0.466292,0.00372444
128,4.57165,-4.63701,0.45755,-0.484029,0.00464242
129,4.57165,-4.63701,0.478975,-0.502246,0.00562678
130,4.58775,-4.65139,0.499021,-0.519621,0.00666993
131,4.58775,-4.65139,0.518343,-0.536687,0.0077544
132,4.60045,-4.6529,0.536841,-0.553309,0.00886909
133,4.60045,-4.6529,0.554957,-0.56965,0.0100044
134,4.67444,-4.72785,0.572554,-0.585772,0.0111541
135,4.67444,-4.72785,0.591149,-0.603155,0.0123166
136,4.67353,-4.72616,0.609207,-0.620205,0.0134972
137,4.67353,-4.72616,0.626838,-0.636983,0.0146892
138,4.66952,-4.72189,0.644154,-0.653588,0.015888
139,4.66952,-4.72189,0.661143,-0.669981,0.0170901
140,4.74573,-4.79905,0.677944,-0.686285,0.0182927
141,4.74573,-4.79905,0.696024,-0.703969,0.0194984
142,4.72901,-4.78238,0.713745,-0.721361,0.0207155
143,4.72901,-4.78238,0.730876,-0.738218,0.0219384
144,4.70987,-4.76348,0.747839,-0.754953,0.0231621
145,4.70987,-4.76348,0.764303,-0.771231,0.024384
146,4.78887,-4.84341,0.780706,-0.787479,0.0256008
147,4.78887,-4.84341,0.798533,-0.805195,0.0268168
148,4.76703,-4.8123,0.816066,-0.822635,0.0280418
149,4.76703,-4.8123,0.83296,-0.839276,0.0292704
150,4.73338,-4.77921,0.849737,-0.855843,0.0304969
151,4.73338,-4.77921,0.865778,-0.87172,0.0317188
152,4.81551,-4.86243,0.881827,-0.887631,0.0329318
153,4.81551,-4.86243,0.899406,-0.905116,0.0341413
154,4.77947,-4.82695,0.916716,-0.922347,0.0353583
155,4.77947,-4.82695,0.93314,-0.938716,0.0365776
156,4.73195,-4.78002,0.949504,-0.955034,0.0377924
157,4.73195,-4.78002,0.964916,-0.970418,0.0390004
158,4.81771,-4.86682,0.980408,-0.985887,0.0401958
159,4.81771,-4.86682,0.997548,-1.00303,0.0413856
160,4.76808,-4.81778,1.01445,-1.01993,0.0425818
161,4.76808,-4.81778,1.03023,-1.03572,0.0437788
162,4.70733,-4.76721,1.04601,-1.05151,0.0449684
163,4.70733,-4.76721,1.06064,-1.06633,0.0461488
164,4.79718,-4.85787,1.07541,-1.08127,0.0473139
165,4.79718,-4.85787,1.09196,-1.09797,0.0484716
166,4.73462,-4.79568,1.10829,-1.11443,0.049635
167,4.73462,-4.79568,1.12329,-1.12954,0.0507981
168,4.67092,-4.73234,1.13834,-1.14468,0.0519513
169,4.67092,-4.73234,1.15223,-1.15865,0.0530932
170,4.76511,-4.8273,1.1663,-1.17279,0.0542173
171,4.76511,-4.8273,1.18225,-1.18881,0.0553324
172,4.69971,-4.75262,1.19799,-1.20461,0.0564528
173,4.69971,-4.75262,1.21235,-1.21885,0.0575722
174,4.62382,-4.67719,1.22678,-1.23317,0.0586803
175,4.62382,-4.67719,1.23981,-1.24612,0.0597755
176,4.72254,-4.77685,1.25307,-1.25932,0.0608503
177,4.72254,-4.77685,1.26832,-1.27453,0.0619144
178,4.64525,-4.69998,1.28336,-1.28954,0.0629833
179,4.64525,-4.69998,1.29681,-1.30297,0.0640505
180,4.55785,-4.613,1.31035,-1.3165,0.0651052
181,4.55785,-4.613,1.32233,-1.32847,0.0661454
182,4.66149,-4.71754,1.33458,-1.34072,0.0671628
183,4.66149,-4.71754,1.34895,-1.3551,0.068168
184,4.573,-4.62946,1.36314,-1.36929,0.0691776
185,4.573,-4.62946,1.37553,-1.3817,0.0701849
186,4.48439,-4.54126,1.38807,-1.39425,0.0711776
187,4.48439,-4.54126,1.39905,-1.40525,0.0721546
188,4.5931,-4.65084,1.41033,-1.41655,0.0731076
189,4.5931,-4.65084,1.42384,-1.43009,0.0740481
190,4.49396,-4.55207,1.43717,-1.44344,0.0749934
191,4.49396,-4.55207,1.44851,-1.45481,0.0759362
192,4.39513,-4.45362,1.46003,-1.46635,0.076863
193,4.39513,-4.45362,1.46983,-1.47617,0.0777726
194,4.50923,-4.56855,1.47998,-1.48634,0.0786559
195,4.50923,-4.56855,1.49249,-1.49888,0.0795253
196,4.40976,-4.46943,1.50483,-1.51125,0.0803995
197,4.40976,-4.46943,1.51519,-1.52164,0.0812711
198,4.31085,-4.37085,1.52573,-1.5322,0.0821267
199,4.31085,-4.37085,1.53456,-1.54106,0.0829652
200,4.43023,-4.49103,1.54375,-1.55027,0.0837775
201,4.43023,-4.49103,1.55539,-1.56194,0.0845765
202,4.32123,-4.38233,1.56686,-1.57343,0.0853812
203,4.32123,-4.38233,1.57616,-1.58277,0.0861837
204,4.21319,-4.27459,1.58567,-1.5923,0.0869693
205,4.21319,-4.27459,1.59332,-1.59998,0.0877368
206,4.33813,-4.40029,1.60137,-1.60804,0.0884762
207,4.33813,-4.40029,1.61201,-1.61871,0.0892012
208,4.22986,-4.29229,1.62247,-1.6292,0.0899321
209,4.22986,-4.29229,1.63079,-1.63754,0.090661
210,4.1132,-4.17588,1.63932,-1.6461,0.0913734
211,4.1132,-4.17588,1.64584,-1.65263,0.0920675
212,4.24373,-4.30716,1.65278,-1.65959,0.0927323
213,4.24373,-4.30716,1.66243,-1.66927,0.0933824
214,4.13673,-4.1908,1.6719,-1.67877,0.0940388
215,4.13673,-4.1908,1.67926,-1.68598,0.0946935
216,4.02152,-4.08559,1.68683,-1.69342,0.0953314
217,4.02152,-4.08559,1.69241,-1.69908,0.0959512
218,4.15749,-4.22228,1.69841,-1.70514,0.096543
219,4.15749,-4.22228,1.70721,-1.71401,0.0971211
220,4.04246,-4.09785,1.71582,-1.72267,0.0977071
221,4.04246,-4.09785,1.72216,-1.72889,0.0982922
222,3.9292,-3.98498,1.72873,-1.73535,0.0988601
223,3.9292,-3.98498,1.73335,-1.73989,0.0994096
224,4.07061,-4.12728,1.7384,-1.74487,0.0999305
225,4.07061,-4.12728,1.74635,-1.75278,0.100438
226,3.94799,-4.01461,1.7541,-1.7605,0.100953
227,3.94799,-4.01461,1.75943,-1.76599,0.101469
228,3.83709,-3.89429,1.765,-1.77169,0.101968
229,3.83709,-3.89429,1.76869,-1.77531,0.10245
230,3.98395,-4.042,1.77281,-1.77937,0.102903
231,3.98395,-4.042,1.77994,-1.78647,0.103342
232,3.86374,-3.92215,1.78685,-1.79336,0.103792
233,3.86374,-3.92215,1.79139,-1.79788,0.104242
234,3.74584,-3.81417,1.79615,-1.80263,0.104675
235,3.74584,-3.81417,1.7989,-1.80555,0.105092
236,3.89812,-3.96708,1.80209,-1.80889,0.105481
237,3.89812,-3.96708,1.8084,-1.81533,0.105857
238,3.78073,-3.84982,1.81449,-1.82153,0.106244
239,3.78073,-3.84982,1.81826,-1.8254,0.106633
240,3.66576,-3.7254,1.82226,-1.82947,0.107007
241,3.66576,-3.7254,1.82428,-1.83138,0.107364
242,3.82325,-3.88369,1.82674,-1.83375,0.107693
243,3.82325,-3.88369,1.83241,-1.83936,0.10801
244,3.70883,-3.76954,1.83784,-1.84473,0.108339
245,3.70883,-3.76954,1.84098,-1.84784,0.10867
246,3.59696,-3.65792,1.84432,-1.85114,0.108987
247,3.59696,-3.65792,1.84573,-1.85254,0.109288
248,3.75942,-3.82116,1.84757,-1.85435,0.109564
249,3.75942,-3.82116,1.85268,-1.85947,0.109828
250,3.64809,-3.71008,1.85753,-1.86432,0.110107
251,3.64809,-3.71008,1.86014,-1.86693,0.110389
252,3.52981,-3.59204,1.86293,-1.86973,0.110659
253,3.52981,-3.59204,1.86367,-1.87047,0.110914
254,3.69721,-3.7602,1.86484,-1.87164,0.111143
255,3.69721,-3.7602,1.86938,-1.87621,0.111361
256,3.58922,-3.65244,1.87366,-1.8805,0.111594
257,3.58922,-3.65244,1.87576,-1.88261,0.111831
258,3.47433,-3.53777,1.87802,-1.88489,0.112058
259,3.47433,-3.53777,1.87828,-1.88517,0.11227
260,3.64644,-3.71062,1.87896,-1.88586,0.112457
261,3.64644,-3.71062,1.88309,-1.89002,0.112635
262,3.53223,-3.59662,1.88694,-1.89388,0.112829
263,3.53223,-3.59662,1.88847,-1.89544,0.113028
264,3.43055,-3.48554,1.89018,-1.89717,0.113215
265,3.43055,-3.48554,1.89015,-1.89697,0.113389
266,3.60713,-3.66303,1.89049,-1.89718,0.11354
267,3.60713,-3.66303,1.89434,-1.90094,0.113681
268,3.4963,-3.56214,1.89788,-1.9044,0.113841
269,3.4963,-3.56214,1.89914,-1.90578,0.114007
270,3.38843,-3.45444,1.90056,-1.9073,0.114164
271,3.38843,-3.45444,1.90009,-1.90692,0.114309
272,3.56946,-3.63615,1.90002,-1.90691,0.114431
273,3.56946,-3.63615,1.90354,-1.91051,0.114546
274,3.46214,-3.529,1.90674,-1.91377,0.114679
275,3.46214,-3.529,1.90773,-1.91481,0.11482
276,3.36737,-3.4248,1.90887,-1.91599,0.114952
277,3.36737,-3.4248,1.90836,-1.91534,0.115073
278,3.55242,-3.6107,1.90819,-1.91506,0.115173
